token_name,rank,holder_address,holders_count
Blockcola Token,1,TLjiPFnSzx6sYGhWMXQZhFhESvWTAh3e8d,13471.351521
Blockcola Token,2,TKH4HPMPjxR2Q93XBVfQrpGiBpyjBwBG6P,2904.33196
Blockcola Token,3,TVkeKCwR7CFpm7ZHT4VTJWHTKT1v7wHXgQ,2490.416425
Blockcola Token,4,TYZTZxY8xaVfBpUsZYify4fTTJDJuvBpeH,1413.94506
Blockcola Token,5,TEPSrSYPDSQ7yXpMFPq91Fb1QEWpMkRGfn,849.899698
Blockcola Token,6,TXka46PPwttNPWfFDPtt3GUodbPThyufaV,505.958434
Blockcola Token,7,TY7q3DSCkckAJJbmyJHZk2Zaxkq9sCnMz2,400.9529
Blockcola Token,8,TQWynADWWQs4SpJSubdyf4C5gPxXmijBkT,300.06
Blockcola Token,9,TBTj5WHPRCpuT5txyLjTGtft3UYXEgrDjN,209.509556
Blockcola Token,10,TGGcvxc8dSBwGqLZo1Tu2ieGoBKwHJwDmE,162.115735
Blockcola Token,11,TRGZi8ikDDnV8Qo3EHXHKcNyVkFcUUFLkr,155.118333
Blockcola Token,12,TMDtCUtHtH5vspfVfVP9Y3nvNNjpeUMjQF,130.440214
Blockcola Token,13,THXvveosa7cRB7PPxYqsB2VmCS4kMH8KRh,127.921459
Blockcola Token,14,TLG4gXt9D4AXffDo9u5vUPn93hjJotBVk9,125.719928
Blockcola Token,15,TH86oKXeLg1utiwasgBwVSRe3nESiqZXuH,111.06919
Blockcola Token,16,TWJv95TSeTFypFfLgEgFtqbx32JQxbHJ9W,85.297496
Blockcola Token,17,TGeioPk9F6qbrK7NS4fek1UHz7kxT2UNgX,83.848626
Blockcola Token,18,TMTAHgc9EjBQiGwahQW3LJpkDYQ1MeMCDf,78.89798
Blockcola Token,19,THj9Lgp27tSpumptemw7TwTX9cE292oGb6,73.923084
Blockcola Token,20,TBWdsiHQRvzthwnAEgC9CmsQejPMdYuGSg,73.646292
Blockcola Token,21,TApUoqQ4sL2KQPAYHmbDBgUi3fhABXJjjy,70.04425
Blockcola Token,22,TDE221VideY2eCqgGQGwt2wiWpxrWERkrC,56.441375
Blockcola Token,23,TNFNLVvfskuJEGgHqbJ6Dw7ivCEJTQc8rz,56.298774
Blockcola Token,24,TVQ3xG7f1CCis8QahM2zgyG9jqXj6d9YhP,53.812066
Blockcola Token,25,TFSFWt11o7nWTJyznEkw4Ag8dDDnRv7ezz,50.0
Blockcola Token,26,TTbQ4Mb4hqjN1vsSWTa4FTewKGxrizLnG8,50.0
Blockcola Token,27,TMGgtgXoEpRVaHpaKPGUCXLJEjqy3eMDAy,44.123822
Blockcola Token,28,TULhqiLtaRssmayJRTM3QcgEVVP4Do9Edy,42.884696
Blockcola Token,29,TDcuTv9TFTfFH8r4SY2Waqf24pNrWXXK4f,42.5
Blockcola Token,30,TPaN5ZqJrsTjJcLLKZNyTNnFFWfcz2qzqK,41.567822
Blockcola Token,31,TVm3vEohV918geD6F9MsdWrb96b35uNp42,40.892404
Blockcola Token,32,TKbsC5NDoouA63TWVR8WwgZnpBrz5h1RS3,40.005994
Blockcola Token,33,TFhXh5zUAqQvBUXS3EPxZa7mDwCp8Je7ZM,38.479136
Blockcola Token,34,TFcF8mgyGYfzwb9ogt8P8cX338QYucxMAJ,37.901189
Blockcola Token,35,TQP5NzhEcYK9pzVYHbVkLZrG6FEjeCTLEs,35.326201
Blockcola Token,36,TDB6GXWSpU6ACUU8eKQpUrZrckmgSgKuVe,34.225038
Blockcola Token,37,TQJgDfG1C1aLA5id4vTygMXZgWG1NKioiV,34.018
Blockcola Token,38,TUmbWKgA4H2uGQDmhkJHttzmt6NymQxV1r,33.283254
Blockcola Token,39,TKhyq3sPEvRC1ECXf3AG9oXgBpgvHhfwC2,32.839565
Blockcola Token,40,TR9U35iFw6irurNyh63REoZJ86BtZyEw7g,32.521814
Blockcola Token,41,TLCcvhgKZ4M7u2RxzChz27AP6qPevGzCWr,31.766512
Blockcola Token,42,TKL3Gmkar3krxgdF3bX6MGbZmcXAK7VYE2,30.044285
Blockcola Token,43,TUmftC2a6LH3TSeCKg2YquukjHXwz41QyL,29.550653
Blockcola Token,44,TLaWgNb2wxMQ8HrZWwQV9TTjkzM8F3ppH4,28.690479
Blockcola Token,45,TJArcesFdiCSw8bruUXJcL3RxQnVLctvof,28.544493
Blockcola Token,46,TKYawpLGA4KsDZ2i4oEdrSuWAKV4mwAP9V,28.027801
Blockcola Token,47,TCbKgHGwZLZYMTNjU1jV4vu3jmeF5XdtzQ,26.0
Blockcola Token,48,TNamVbujdiQvdmDCxB6PNPzP4W43bRZKS5,25.405464
Blockcola Token,49,TNgEwMque5rV8qYivQp4BG2XKVjAFJjFnj,24.513387
Blockcola Token,50,TUa78E6htr8fJLqiAW3H4CZBcvNRHWooiM,23.069853
